Country,State,Year,Name Of The Coal Field,Type Of Coal,Depth Of The Reserve,Type Of Reserve,"Coal Reserved Quantity (UOM:t(Tonne)), Scaling Factor:1000000"
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jharia,Non-Coking,600-1200,Indicated,1355
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jharia,Non-Coking,600-1200,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jharia,Non-Coking,600-1200,Proved,496
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jharia,Prime Coking,0-600,Indicated,4
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jharia,Prime Coking,0-600,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jharia,Prime Coking,0-600,Proved,4054
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jharia,Prime Coking,600-1200,Indicated,641
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jharia,Prime Coking,600-1200,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jharia,Prime Coking,600-1200,Proved,613
India,Jharkhand,"Financial Year (Apr - Mar), 2021",North Karanpura,Medium Coking,0-300,Indicated,1163
India,Jharkhand,"Financial Year (Apr - Mar), 2021",North Karanpura,Medium Coking,0-300,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",North Karanpura,Medium Coking,0-300,Proved,559
India,Jharkhand,"Financial Year (Apr - Mar), 2021",North Karanpura,Medium Coking,300-600,Indicated,1636
India,Jharkhand,"Financial Year (Apr - Mar), 2021",North Karanpura,Medium Coking,300-600,Inferred,413
India,Jharkhand,"Financial Year (Apr - Mar), 2021",North Karanpura,Medium Coking,300-600,Proved,46
India,Jharkhand,"Financial Year (Apr - Mar), 2021",North Karanpura,Non-Coking,0-300,Indicated,2251
India,Jharkhand,"Financial Year (Apr - Mar), 2021",North Karanpura,Non-Coking,0-300,Inferred,722
India,Jharkhand,"Financial Year (Apr - Mar), 2021",North Karanpura,Non-Coking,0-300,Proved,9090
India,Jharkhand,"Financial Year (Apr - Mar), 2021",North Karanpura,Non-Coking,300-600,Indicated,1124
